time;month;temperature;feelslike;wind;direction;gust;cloud;rain;rain_ratio;pressure;weather
00:00;1;21;21;6;SE;8;100;0.1;0;1014;Patchy rain possible
03:00;1;21;21;5;SE;7;100;0.7;0;1014;Moderate rain at times
06:00;1;21;21;5;ESE;7;100;0.1;0;1014;Patchy rain possible
09:00;1;22;25;6;ESE;8;100;0.3;0;1015;Patchy rain possible
12:00;1;23;25;11;ESE;13;96;0.3;0;1013;Patchy rain possible
15:00;1;23;25;12;SE;19;82;0.3;0;1011;Patchy rain possible
18:00;1;21;21;14;SE;20;100;0.0;0;1012;Overcast
21:00;1;20;20;14;SE;19;97;0.0;0;1013;Overcast
00:00;1;22;25;10;ESE;15;100;0.0;0;1011;Overcast
03:00;1;22;25;10;ESE;16;100;0.0;0;1010;Overcast
06:00;1;22;25;9;ESE;13;100;0.0;0;1011;Overcast
09:00;1;23;25;14;ENE;21;100;0.4;0;1014;Patchy rain possible
12:00;1;15;13;30;NE;42;100;0.1;0;1014;Patchy rain possible
15:00;1;13;11;23;NE;41;100;0.0;0;1015;Overcast
18:00;1;12;10;22;NE;30;100;0.0;0;1020;Overcast
21:00;1;11;9;19;NNE;26;100;0.0;0;1023;Overcast
00:00;1;19;19;4;SSE;6;69;0.0;0;1018;Cloudy
03:00;1;18;18;1;E;2;66;0.0;0;1017;Cloudy
06:00;1;18;18;6;E;10;100;0.0;0;1018;Overcast
09:00;1;21;21;6;E;12;79;0.0;0;1018;Cloudy
12:00;1;22;25;7;SE;8;100;0.0;0;1016;Overcast
15:00;1;22;22;8;SE;11;89;0.0;0;1015;Overcast
18:00;1;21;21;3;SSE;9;83;0.0;0;1016;Cloudy
21:00;1;20;20;4;S;6;100;0.0;0;1017;Overcast
00:00;1;20;20;5;SSE;7;100;0.1;0;1016;Patchy rain possible
03:00;1;20;20;5;SE;7;100;0.0;0;1015;Overcast
06:00;1;20;20;0;SW;1;100;0.0;0;1015;Overcast
09:00;1;21;21;4;ESE;5;100;0.1;0;1016;Patchy rain possible
12:00;1;22;25;8;ESE;10;100;0.2;0;1014;Patchy rain possible
15:00;1;23;25;8;SE;15;95;0.0;0;1013;Overcast
18:00;1;21;21;8;SE;10;90;0.0;0;1014;Overcast
21:00;1;21;21;9;SE;12;99;0.0;0;1015;Overcast
00:00;1;20;20;8;SE;10;93;0.0;0;1012;Overcast
03:00;1;20;20;8;SE;11;100;0.0;0;1012;Overcast
06:00;1;20;20;10;SE;15;100;0.0;0;1012;Overcast
09:00;1;21;21;10;SE;17;93;0.0;0;1013;Overcast
12:00;1;24;26;13;SE;19;90;0.0;0;1010;Overcast
15:00;1;24;26;12;SE;16;97;0.0;0;1008;Overcast
18:00;1;23;25;14;SE;21;100;0.0;0;1009;Overcast
21:00;1;22;25;12;SE;17;98;0.0;0;1011;Overcast
00:00;1;20;20;13;SE;18;100;0.0;0;1012;Overcast
03:00;1;20;20;14;SE;19;100;0.0;0;1012;Overcast
06:00;1;19;19;11;SE;15;100;0.0;0;1012;Overcast
09:00;1;20;20;12;SE;16;100;0.0;0;1013;Overcast
12:00;1;23;25;11;SE;17;100;0.0;0;1011;Overcast
15:00;1;23;25;14;SE;18;94;0.0;0;1010;Overcast
