time	month	temperature	feelslike	wind	direction	gust	cloud	rain	rain_ratio	pressure	weather
00:00	1	10	10	7	NE	12	32	0.0	0	1026	Partly cloudy
03:00	1	9	7	10	NNE	15	37	0.0	0	1026	Partly cloudy
06:00	1	8	6	10	NNE	17	33	0.0	0	1026	Partly cloudy
09:00	1	13	12	12	NNE	15	22	0.0	0	1027	Clear
12:00	1	17	17	10	NNE	18	12	0.0	0	1024	Clear
15:00	1	17	17	7	NE	13	7	0.0	0	1021	Clear
18:00	1	16	16	3	E	3	5	0.0	0	1022	Clear
21:00	1	12	12	6	SE	10	5	0.0	0	1024	Clear
00:00	1	12	11	6	SE	9	7	0.0	0	1024	Clear
03:00	1	11	11	3	NE	4	6	0.0	0	1023	Clear
06:00	1	9	9	4	SW	6	5	0.0	0	1024	Clear
09:00	1	14	14	5	NNW	10	5	0.0	0	1024	Clear
12:00	1	18	18	4	SSW	10	4	0.0	0	1021	Clear
15:00	1	20	20	6	SE	7	1	0.0	0	1018	Clear
18:00	1	17	17	10	SE	12	0	0.0	0	1018	Clear
21:00	1	15	14	10	SE	12	0	0.0	0	1020	Clear
00:00	1	13	13	7	SE	8	0	0.0	0	1020	Clear
03:00	1	11	11	6	E	8	10	0.0	0	1020	Clear
06:00	1	10	9	6	W	10	47	0.0	0	1021	Partly cloudy
09:00	1	15	15	8	NNW	11	85	0.0	0	1023	Overcast
12:00	1	17	17	8	SE	16	84	0.0	0	1021	Cloudy
15:00	1	17	17	10	NE	13	79	0.0	0	1019	Cloudy
18:00	1	15	15	7	ENE	10	81	0.0	0	1021	Cloudy
21:00	1	11	11	5	NE	7	84	0.0	0	1022	Cloudy
00:00	1	17	17	8	SSE	12	93	0.0	0	1018	Overcast
03:00	1	16	16	6	ESE	8	95	0.0	0	1018	Overcast
06:00	1	15	15	10	NE	14	98	0.0	0	1019	Overcast
09:00	1	15	15	15	NE	21	100	0.0	0	1021	Overcast
12:00	1	14	13	18	NE	23	100	0.0	0	1020	Overcast
15:00	1	14	13	17	NE	23	100	0.0	0	1019	Overcast
18:00	1	14	12	17	NE	24	100	0.0	0	1020	Overcast
21:00	1	12	10	16	NNE	27	100	0.0	0	1022	Overcast
00:00	1	11	9	16	NNE	26	100	0.0	0	1023	Overcast
03:00	1	10	7	16	NE	28	100	0.2	0	1023	Patchy rain possible
06:00	1	9	6	18	NNE	30	100	0.0	0	1025	Overcast
09:00	1	8	5	19	NNE	31	100	0.0	0	1027	Overcast
12:00	1	8	5	19	NNE	31	100	0.0	0	1026	Overcast
15:00	1	8	6	17	NNE	29	100	0.0	0	1025	Overcast
18:00	1	8	6	14	NNE	27	100	0.0	0	1026	Overcast
21:00	1	6	3	13	NNE	21	98	0.0	0	1027	Overcast
00:00	1	14	14	6	SSE	9	7	0.0	0	1020	Clear
03:00	1	14	14	4	E	6	47	0.0	0	1019	Partly cloudy
06:00	1	14	14	5	NNE	8	76	0.0	0	1020	Cloudy
09:00	1	17	17	8	SW	10	85	0.0	0	1022	Overcast
12:00	1	19	19	8	ESE	9	83	0.0	0	1020	Cloudy
15:00	1	20	20	7	NE	9	88	0.0	0	1018	Overcast
18:00	1	19	19	6	E	8	90	0.0	0	1019	Overcast
21:00	1	19	19	5	NE	8	90	0.0	0	1021	Overcast
00:00	1	14	14	4	ENE	6	58	0.0	0	1022	Partly cloudy
03:00	1	14	14	6	NNE	9	44	0.0	0	1021	Partly cloudy
06:00	1	13	13	5	N	8	52	0.0	0	1021	Partly cloudy
09:00	1	16	16	6	SW	11	43	0.0	0	1023	Partly cloudy
12:00	1	21	21	5	SSE	12	21	0.0	0	1020	Clear
15:00	1	22	22	8	E	9	4	0.0	0	1017	Clear
18:00	1	20	20	9	ESE	11	0	0.0	0	1018	Clear
21:00	1	17	17	8	SE	9	1	0.0	0	1020	Clear
00:00	1	18	18	8	NNE	11	89	0.0	0	1021	Overcast
03:00	1	17	17	8	NNE	11	93	0.0	0	1020	Overcast
06:00	1	17	17	7	NNE	10	99	0.0	0	1020	Overcast
09:00	1	18	18	7	NE	14	100	0.0	0	1021	Overcast
12:00	1	19	19	7	E	12	98	0.0	0	1019	Overcast
15:00	1	20	20	10	SE	12	79	0.0	0	1016	Cloudy
18:00	1	19	19	9	SE	14	68	0.0	0	1016	Cloudy
21:00	1	17	17	12	SE	13	65	0.0	0	1018	Cloudy
00:00	1	8	6	13	NE	18	74	0.0	0	1026	Cloudy
03:00	1	10	8	14	NNE	21	74	0.0	0	1026	Cloudy
06:00	1	10	7	15	NNE	22	92	0.0	0	1026	Overcast
09:00	1	10	8	16	NNE	21	100	0.0	0	1026	Overcast
12:00	1	12	10	12	NNE	19	100	0.0	0	1024	Overcast
15:00	1	13	11	12	NE	15	90	0.0	0	1020	Overcast
18:00	1	12	11	10	NE	13	70	0.0	0	1021	Cloudy
21:00	1	11	10	9	NE	13	49	0.0	0	1022	Partly cloudy
00:00	1	12	10	11	NNE	17	29	0.0	0	1025	Partly cloudy
03:00	1	11	10	12	NNE	19	40	0.0	0	1026	Partly cloudy
06:00	1	11	9	17	NNE	25	60	0.0	0	1028	Partly cloudy
09:00	1	11	9	19	NNE	33	67	0.0	0	1030	Cloudy
12:00	1	12	9	23	N	32	73	0.0	0	1030	Cloudy
15:00	1	13	11	18	SW	30	54	0.0	0	1028	Partly cloudy
18:00	1	13	12	9	NNW	18	52	0.0	0	1029	Partly cloudy
21:00	1	12	11	11	NW	17	77	0.0	0	1030	Cloudy
00:00	1	10	9	11	NNE	13	44	0.0	0	1023	Partly cloudy
03:00	1	10	8	10	NNE	15	44	0.0	0	1023	Partly cloudy
06:00	1	9	8	10	NNE	14	45	0.0	0	1023	Partly cloudy
09:00	1	12	10	13	NNE	17	67	0.0	0	1025	Cloudy
12:00	1	14	12	14	NNE	21	75	0.0	0	1023	Cloudy
15:00	1	14	13	13	NE	15	54	0.0	0	1021	Partly cloudy
18:00	1	14	13	6	NE	14	36	0.0	0	1022	Partly cloudy
21:00	1	11	10	10	NE	17	30	0.0	0	1024	Partly cloudy
00:00	1	10	9	10	NW	16	82	0.0	0	1031	Cloudy
03:00	1	10	8	13	NW	20	47	0.0	0	1029	Partly cloudy
06:00	1	10	8	12	NW	19	22	0.0	0	1029	Clear
09:00	1	13	12	13	NNW	17	13	0.0	0	1029	Clear
12:00	1	16	16	12	ESE	21	12	0.0	0	1025	Clear
15:00	1	18	18	6	NNE	15	15	0.0	0	1021	Clear
18:00	1	16	16	4	SE	5	19	0.0	0	1021	Clear
21:00	1	14	13	9	SSE	13	35	0.0	0	1021	Partly cloudy
00:00	1	13	13	6	SE	9	9	0.0	0	1019	Clear
03:00	1	13	12	5	E	8	11	0.0	0	1018	Clear
06:00	1	11	11	6	NE	9	13	0.0	0	1019	Clear
09:00	1	17	17	6	WSW	12	12	0.0	0	1019	Clear
12:00	1	20	20	3	SE	9	11	0.0	0	1017	Clear
15:00	1	23	24	4	ENE	9	9	0.0	0	1014	Clear
18:00	1	20	20	5	ESE	6	7	0.0	0	1015	Clear
21:00	1	16	16	10	SE	15	7	0.0	0	1016	Clear
00:00	1	12	13	4	SSE	7	28	0.0	0	1021	Partly cloudy
03:00	1	13	14	4	SE	6	28	0.0	0	1020	Partly cloudy
06:00	1	10	10	3	NE	5	20	0.0	0	1020	Clear
09:00	1	16	16	4	NNE	10	17	0.0	0	1020	Clear
12:00	1	20	20	7	ESE	15	15	0.0	0	1018	Clear
15:00	1	21	21	10	SSE	12	11	0.0	0	1015	Clear
